Report for hillclimb algorithm
______________________________
    X     Increment   Steps Xfinal   YFinal
     0     0.01      123     1.23   0.978327
     0     0.02       62     1.24   0.978299
     0     0.03       41     1.23   0.978327
     0     0.04       31     1.24   0.978299
     0     0.05       25     1.25   0.977679
     0     0.06       21     1.26   0.976454
     0     0.07       18     1.26   0.976454
     0     0.08       15      1.2   0.974988
     0     0.09       14     1.26   0.976454
     0      0.1       12      1.2   0.974988
     1     0.01       23     1.23   0.978327
     1     0.02       12     1.24   0.978299
     1     0.03        8     1.24   0.978299
     1     0.04        6     1.24   0.978299
     1     0.05        5     1.25   0.977679
     1     0.06        4     1.24   0.978299
     1     0.07        3     1.21   0.976658
     1     0.08        3     1.24   0.978299
     1     0.09        3     1.27   0.974612
     1      0.1        2      1.2   0.974988
     2     0.01       77     1.23   0.978327
     2     0.02       38     1.24   0.978299
     2     0.03       26     1.22   0.977775
     2     0.04       19     1.24   0.978299
     2     0.05       15     1.25   0.977679
     2     0.06       13     1.22   0.977775
     2     0.07       11     1.23   0.978327
     2     0.08       10      1.2   0.974988
     2     0.09        9     1.19   0.972781
     2      0.1        8      1.2   0.974988
     3     0.01       20      2.8   0.845685
     3     0.02       10      2.8   0.845685
     3     0.03        7     2.79   0.844352
     3     0.04        5      2.8   0.845685
     3     0.05        4      2.8   0.845685
     3     0.06        3     2.82   0.840387
     3     0.07        3     2.79   0.844352
     3     0.08        3     2.76   0.824787
     3     0.09        2     2.82   0.840387
     3      0.1        2      2.8   0.845685
     4     0.01       24     3.76   0.791257
     4     0.02       12     3.76   0.791257
     4     0.03        8     3.76   0.791257
     4     0.04        6     3.76   0.791257
     4     0.05        5     3.75   0.789549
     4     0.06        4     3.76   0.791257
     4     0.07        3     3.79   0.769521
     4     0.08        3     3.76   0.791257
     4     0.09        3     3.73   0.772903
     4      0.1        2      3.8   0.753361
     5     0.01       17     5.17   0.731406
     5     0.02        8     5.16   0.72978
     5     0.03        6     5.18   0.725218
     5     0.04        4     5.16   0.72978
     5     0.05        3     5.15   0.720394
     5     0.06        3     5.18   0.725218
     5     0.07        2     5.14   0.703386
     5     0.08        2     5.16   0.72978
     5     0.09        2     5.18   0.725218
     5      0.1        2      5.2   0.689601
     6     0.01       26     5.74   0.711713
     6     0.02       13     5.74   0.711713
     6     0.03        9     6.27   0.695412
     6     0.04        7     6.28   0.685912
     6     0.05        5     6.25   0.681708
     6     0.06        4     6.24   0.658803
     6     0.07        4     6.28   0.685912
     6     0.08        3     6.24   0.658803
     6     0.09        3     6.27   0.695412
     6      0.1        3      6.3   0.63474
     7     0.01       20      7.2   0.671075
     7     0.02       10      7.2   0.671075
     7     0.03        7     7.21   0.663516
     7     0.04        5      7.2   0.671075
     7     0.05        4      7.2   0.671075
     7     0.06        3     7.18   0.644698
     7     0.07        3     7.21   0.663516
     7     0.08        2     7.16   0.565574
     7     0.09        2     7.18   0.644698
     7      0.1        2      7.2   0.671075
     8     0.01        2     8.02   0.649806
     8     0.02        1     8.02   0.649806
     8     0.03        1     8.03   0.649798
     8     0.04        1     8.04   0.633062
     8     0.05        0     8.05   0.231171
     8     0.06        0     8.06   0.0253672
     8     0.07        0     8.07   -0.183307
     8     0.08        0     8.08   -0.372929
     8     0.09        0     8.09   -0.523351
     8      0.1        0      8.1   -0.61837
     9     0.01       12     9.12   0.627925
     9     0.02        6     9.12   0.627925
     9     0.03        4     9.12   0.627925
     9     0.04        3     9.12   0.627925
     9     0.05        2      9.1   0.569585
     9     0.06        2     9.12   0.627925
     9     0.07        2     9.14   0.603641
     9     0.08        2     9.16   0.499511
     9     0.09        1     9.09   0.511554
     9      0.1        1      9.1   0.569585
    10     0.01       10     10.1   0.610107
    10     0.02        5     10.1   0.610107
    10     0.03        3    10.09   0.586613
    10     0.04        3    10.12   0.582673
    10     0.05        2     10.1   0.610107
    10     0.06        2    10.12   0.582673
    10     0.07        1    10.07   0.470222
    10     0.08        1    10.08   0.539328
    10     0.09        1    10.09   0.586613
    10      0.1        1     10.1   0.610107
