Report for simulated annealing algorithm
________________________________________
Temperature used:  {1250, 1000, 750, 500, 250, 1500, 125}
Cooling used:  {1, 2, 3, 4, 5, 6, 7}
RandX    Temp     Cooling   Steps  Xfinal   YFinal
__________________________________________________
     1     1250        1     1249   1.23292   0.978379
     1     1000        1      999   1.29823   0.965974
     1      750        1      749   1.40227   0.886924
     1      500        1      499   1.48497   0.767259
     1      250        1      249   1.25628   0.976982
     1     1500        1     1499   1.18418   0.971253
     1      125        1      124   1.25342   0.977329
     1     1250        2      625   1.3143   0.958715
     1     1000        2      500   1.22032   0.977801
     1      750        2      375   1.25706   0.976878
     1      500        2      250   1.11579   0.940972
     1      250        2      125   1.18239   0.97075
     1     1500        2      750   1.41064   0.877149
     1      125        2       62   1.46468   0.801387
     1     1250        3      417   1.21458   0.977239
     1     1000        3      333   8.43039   0.596078
     1      750        3      250   1.2708   0.974438
     1      500        3      167   2.81597   0.842315
     1      250        3       83   1.22871   0.978288
     1     1500        3      500   2.87678   0.76712
     1      125        3       42   2.82807   0.835216
     1     1250        4      313   1.44963   0.824709
     1     1000        4      250   1.01167   0.858953
     1      750        4      188   0.921959   0.76428
     1      500        4      125   6.2197   0.581443
     1      250        4       63   0.993589   0.841303
     1     1500        4      375   1.11704   0.941714
     1      125        4       31   1.27482   0.9735
     1     1250        5      250   1.07815   0.915687
     1     1000        5      200   5.70809   0.655754
     1      750        5      150   1.34005   0.943405
     1      500        5      100   5.22412   0.607182
     1      250        5       50   5.72547   0.697695
     1     1500        5      300   1.46408   0.802349
     1      125        5       25   6.72971   0.659521
     1     1250        6      209   8.81535   0.468782
     1     1000        6      167   1.21166   0.976882
     1      750        6      125   1.22678   0.978212
     1      500        6       84   0.907014   0.747071
     1      250        6       42   0.863453   0.695327
     1     1500        6      250   0.954698   0.800732
     1      125        6       21   1.56724   0.597685
     1     1250        7      179   2.73065   0.784005
     1     1000        7      143   6.25535   0.689623
     1      750        7      107   1.38712   0.903284
     1      500        7       72   8.04041   0.632015
     1      250        7       36   0.848306   0.676905
     1     1500        7      215     1.27   0.974613
     1      125        7       18   1.05014   0.893491
     4     1250        1     1249   1.02521   0.871606
     4     1000        1      999   1.22604   0.978177
     4      750        1      749   1.18752   0.972151
     4      500        1      499   1.2714   0.974304
     4      250        1      249   1.22682   0.978214
     4     1500        1     1499     1.26   0.976454
     4      125        1      124   1.27379   0.973749
     4     1250        2      625   1.22271   0.977981
     4     1000        2      500   1.46469   0.801378
     4      750        2      375   1.30818   0.961682
     4      500        2      250   1.27036   0.974533
     4      250        2      125   1.33478   0.946912
     4     1500        2      750   1.29324   0.967875
     4      125        2       62   1.37832    0.912
     4     1250        3      417   1.18429   0.971283
     4     1000        3      333   1.24175   0.978234
     4      750        3      250   1.13126   0.949696
     4      500        3      167   1.21751   0.97755
     4      250        3       83   0.985914   0.833565
     4     1500        3      500   0.983215   0.83081
     4      125        3       42   1.39799   0.891712
     4     1250        4      313   1.13496   0.951631
     4     1000        4      250   1.15049   0.959065
     4      750        4      188   1.05211   0.895143
     4      500        4      125   1.31872   0.956408
     4      250        4       63   1.02154   0.868224
     4     1500        4      375   0.982237   0.829807
     4      125        4       31   1.07155   0.910701
     4     1250        5      250   1.35622   0.931424
     4     1000        5      200   3.69614   0.70624
     4      750        5      150   6.75734   0.678454
     4      500        5      100   5.16932   0.731542
     4      250        5       50   2.91112   0.682281
     4     1500        5      300   1.52784   0.685018
     4      125        5       25   5.76934   0.679861
     4     1250        6      209   6.23716   0.650411
     4     1000        6      167   3.69086   0.691761
     4      750        6      125   1.05771   0.899754
     4      500        6       84   2.73569   0.792474
     4      250        6       42   1.37542   0.914752
     4     1500        6      250   7.18505   0.656508
     4      125        6       21   1.20921   0.976546
     4     1250        7      179   8.43151   0.591401
     4     1000        7      143   4.4557   0.640548
     4      750        7      107   1.25415   0.977245
     4      500        7       72   1.19108   0.973045
     4      250        7       36   1.57595   0.57694
     4     1500        7      215   0.950415   0.796071
     4      125        7       18   0.964133   0.810872
     7     1250        1     1249   1.35421   0.933009
     7     1000        1      999   2.8289   0.834588
     7      750        1      749    1.283   0.971272
     7      500        1      499   1.22926   0.978306
     7      250        1      249   1.14948   0.958616
     7     1500        1     1499   1.1722   0.967562
     7      125        1      124   1.15934   0.962805
     7     1250        2      625   1.1533   0.960293
     7     1000        2      500   1.01861   0.865507
     7      750        2      375   1.23983   0.978305
     7      500        2      250   1.23312   0.978381
     7      250        2      125   2.78104   0.840929
     7     1500        2      750   1.22025   0.977796
     7      125        2       62   2.80637   0.845154
     7     1250        3      417   1.19069   0.972949
     7     1000        3      333   1.2707   0.97446
     7      750        3      250   1.19449   0.973837
     7      500        3      167   1.27257   0.974038
     7      250        3       83   1.3486   0.9373
     7     1500        3      500   1.19411   0.973752
     7      125        3       42   1.20843   0.976432
     7     1250        4      313   5.72855   0.702295
     7     1000        4      250   1.10716   0.935669
     7      750        4      188   1.35582   0.931739
     7      500        4      125   6.22017   0.583678
     7      250        4       63    3.706   0.730444
     7     1500        4      375   0.828921   0.653097
     7      125        4       31   2.72661   0.776801
     7     1250        5      250   1.12278   0.945043
     7     1000        5      200   2.77964   0.840206
     7      750        5      150   4.54117   0.740518
     7      500        5      100   6.76675   0.663347
     7      250        5       50   2.78095   0.840887
     7     1500        5      300   2.74352   0.804424
     7      125        5       25   1.19026   0.972846
     7     1250        6      209   2.84466   0.81911
     7     1000        6      167   3.72354   0.763827
     7      750        6      125   0.892793   0.730414
     7      500        6       84   1.20648   0.976132
     7      250        6       42   0.984659   0.832285
     7     1500        6      250   2.79994   0.845685
     7      125        6       21   1.07479   0.913168
     7     1250        7      179   3.84171     0.64
     7     1000        7      143   1.29429   0.96749
     7      750        7      107   0.880222   0.71549
     7      500        7       72    1.396   0.893895
     7      250        7       36   3.74841   0.788867
     7     1500        7      215   1.37228   0.917663
     7      125        7       18   0.807102   0.626074
